chebi_id,InChIKey
17709,IRLPACMLTUPBCL-KQYNXXCUSA-N
17710,KJTLQQUUPVSXIM-ZCFIWIBFSA-N
17711,CTNZOGJNVIFEBA-UPSUJEDGSA-N
17733,VFRROHXSMXFLSN-KCDKBNATSA-N
17735,LKQUDAOAMBKKQW-UHFFFAOYSA-N
17750,KWIUHFFTVRNATP-UHFFFAOYSA-N
17751,ZDDYYKRGKUKSLN-TWBNDLJKSA-N
17771,LOIYMIARKYCTBW-OWOJBTEDSA-M
17775,LEHOTFFKMJEONL-UHFFFAOYSA-N
17793,ZZAJQOPSWWVMBI-UHFFFAOYSA-N
17803,ZZZCUOFIHGPKAK-UWTATZPHSA-N
17825,AOKQNZVJJXPUQA-KQYNXXCUSA-O
17830,KCEGBPIYGIWCDH-UHFFFAOYSA-M
17838,YYLQUHNPNCGKJQ-LWMBPPNESA-L
17839,WBFYVDCHGVNRBH-UHFFFAOYSA-M
17846,FTVWIRXFELQLPI-ZDUSSCGKSA-N
17859,JFCQEDHGNNZCLN-UHFFFAOYSA-N
17883,VEXZGXHMUGYJMC-UHFFFAOYSA-N
17884,JFLIEFSWGNOPJJ-JTQLQIEISA-N
17899,IOIZWEJGGCZDOL-RQDYSCIWSA-N
17902,YANFYYGANIYHGI-UHFFFAOYSA-N
17905,ZNEWHQLOPFWXOF-UHFFFAOYSA-N
17919,KRHAHEQEKNJCSD-UHFFFAOYSA-N
17922,YLQWCDOCJODRMT-UHFFFAOYSA-N
17993,PWDJFVLCTVHYOX-YFKPBYRVSA-O
18005,BTNMPGBKDVTSJY-UHFFFAOYSA-M
18050,ZDXPYRJPNDTMRX-VKHMYHEASA-N
18084,CNIXJDVUMXTEKX-DZBHQSCQSA-N
18088,HKQYGTCOTHHOMP-UHFFFAOYSA-N
18092,YKSARTKNUYWHKA-DOKBYWHISA-N
18094,VOJUXHHACRXLTD-UHFFFAOYSA-N
18119,KQWWVLVLVYYYDT-UHFFFAOYSA-N
18120,OTIAVLWNTIXJDO-UHFFFAOYSA-N
18125,PMOWTIHVNWZYFI-AATRIKPKSA-N
18127,VHRGRCVQAFMJIZ-UHFFFAOYSA-N
18128,VSUOKLTVXQRUSG-ZFORQUDYSA-N
18139,GETQZCLCWQTVFV-UHFFFAOYSA-N
18148,RWHOZGRAXYWRNX-VFUOTHLCSA-N
18162,YIXNPXUQGCNFPX-RTPSYSNVSA-N
18168,CQJGVSCAFSXDSB-UHFFFAOYSA-N
18170,QYHFIVBSNOWOCQ-UHFFFAOYSA-N
18188,QCHPKSFMDHPSNR-VKHMYHEASA-M
18206,CNGNJOBQFRZLRY-TYHXJLICSA-N
18224,BJIOGJUNALELMI-UHFFFAOYSA-N
18247,RQRINYISXYAZKL-RPDRRWSUSA-N
18263,RKNHJBVBFHDXGR-MRUDJCSFSA-N
